1,"Αα: Visor till högtid"
2,"Ββ: Visor till gasque"
3,"Γγ: Visor till öl"
4,"Δδ: Visor till destillat"
5,"Εε: Visor till vin"
6,"Ζζ: Visor till punsch"
7,"Ηη: Visor till andra drycker"
8,"Θθ: Blöta visor"
9,"Ιι: Torra visor"
10,"Κκ: Fina visor"
11,"Λλ: Vackra visor"
12,"Μμ: Nidvisor"
13,"Νν: Skojiga visor"
14,"Οο: Visor till Fysiker"
